7149000192.00000000	-0.00540081	-0.01305788
7149002752.00000000	-0.00532165	-0.01328574
7149004800.00000000	-0.00530351	-0.01303836
7149007360.00000000	-0.00551162	-0.01299994
7149009920.00000000	-0.00560883	-0.01316429
7149012480.00000000	-0.00556288	-0.01308255
7149015040.00000000	-0.00564674	-0.01315416
7149017600.00000000	-0.00531531	-0.01309180
7149020160.00000000	-0.00560680	-0.01294049
7149022720.00000000	-0.00546072	-0.01287059
7149024768.00000000	-0.00552838	-0.01293015
7149027328.00000000	-0.00572294	-0.01289940
7149029888.00000000	-0.00551752	-0.01307236
7149032448.00000000	-0.00573389	-0.01292742
7149035008.00000000	-0.00554397	-0.01305667
7149037568.00000000	-0.00562322	-0.01310694
7149040128.00000000	-0.00581884	-0.01309365
7149042688.00000000	-0.00577423	-0.01294236
7149044736.00000000	-0.00565666	-0.01267921
7149047296.00000000	-0.00566068	-0.01299327
7149049856.00000000	-0.00590084	-0.01295817
7149052416.00000000	-0.00577354	-0.01279076
7149054976.00000000	-0.00592281	-0.01302692
7149057536.00000000	-0.00592818	-0.01275870
7149060096.00000000	-0.00590616	-0.01278349
7149062656.00000000	-0.00594926	-0.01283691
7149065216.00000000	-0.00604824	-0.01269796
7149067264.00000000	-0.00596454	-0.01286896
7149069824.00000000	-0.00601947	-0.01292443
7149072384.00000000	-0.00624560	-0.01289992
7149074944.00000000	-0.00590188	-0.01273496
7149077504.00000000	-0.00599435	-0.01292376
7149080064.00000000	-0.00608273	-0.01287211
7149082624.00000000	-0.00612967	-0.01286102
7149085184.00000000	-0.00622421	-0.01290064
7149087232.00000000	-0.00606128	-0.01288639
7149089792.00000000	-0.00620441	-0.01288963
7149092352.00000000	-0.00612572	-0.01284456
7149094912.00000000	-0.00592063	-0.01274189
7149097472.00000000	-0.00603476	-0.01295511
7149100032.00000000	-0.00614467	-0.01283366
7149102592.00000000	-0.00632239	-0.01274452
7149105152.00000000	-0.00623043	-0.01279860
7149107712.00000000	-0.00618986	-0.01282557
7149109760.00000000	-0.00620011	-0.01284661
7149112320.00000000	-0.00641364	-0.01266525
7149114880.00000000	-0.00636705	-0.01274417
7149117440.00000000	-0.00654455	-0.01270201
7149120000.00000000	-0.00651128	-0.01281449
7149122560.00000000	-0.00623837	-0.01255103
7149125120.00000000	-0.00635338	-0.01260163
7149127680.00000000	-0.00636490	-0.01259764
7149129728.00000000	-0.00635139	-0.01260366
7149132288.00000000	-0.00637688	-0.01264799
7149134848.00000000	-0.00630416	-0.01268278
7149137408.00000000	-0.00670694	-0.01255909
7149139968.00000000	-0.00651756	-0.01246422
7149142528.00000000	-0.00653054	-0.01274662
7149145088.00000000	-0.00636023	-0.01240579
7149147648.00000000	-0.00671590	-0.01252008
7149150208.00000000	-0.00659154	-0.01255215
7149152256.00000000	-0.00668121	-0.01253967
7149154816.00000000	-0.00658181	-0.01242962
7149157376.00000000	-0.00679949	-0.01268312
7149159936.00000000	-0.00661734	-0.01240974
7149162496.00000000	-0.00655519	-0.01251432
7149165056.00000000	-0.00674459	-0.01251490
7149167616.00000000	-0.00684498	-0.01256914
7149170176.00000000	-0.00670271	-0.01255769
7149172224.00000000	-0.00699879	-0.01239736
7149174784.00000000	-0.00698630	-0.01240059
7149177344.00000000	-0.00686873	-0.01238983
7149179904.00000000	-0.00693750	-0.01233598
7149182464.00000000	-0.00706093	-0.01248190
7149185024.00000000	-0.00687823	-0.01229684
7149187584.00000000	-0.00701535	-0.01230475
7149190144.00000000	-0.00704928	-0.01219774
7149192704.00000000	-0.00701767	-0.01244174
7149194752.00000000	-0.00700306	-0.01250163
